sample_id,population_abbreviation,project,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,production,n50_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,coverage_100kb_R1041,coverage_100kb_R941,sequencing_chemistry_ont,read_N50_ont,meth_wg_cov
HG02280,ACB,HPRC,70.99,36.49,66.90,WUSTL_HPRC_HiFi_Year2_TopUp,21645.28,128.88,39.44,21286278.00,66.76,26.97,0.00,26.97,R941,83102.82,66.90
HG02293,PEL,HPRC,62.04,37.04,56.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18688.62,165.24,36.27,19494100.00,91.73,35.26,0.00,35.26,R941,81365.68,56.20
HG02300,PEL,HPRC,63.09,34.49,58.70,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17849.93,84.52,37.86,19252767.00,62.85,27.43,0.00,27.43,R941,88763.13,58.70
HG02391,CDX,HPRC,58.59,48.59,53.10,RU_Y3,24400.22,71.70,34.77,17830641.00,51.83,20.55,0.00,20.55,R941,81375.66,53.10
HG02392,CDX,HPRC,62.20,0.00,62.20,RU_Y4,20873.18,50.18,35.91,17381819.00,76.80,36.66,36.66,0.00,R1041,95404.69,62.20
HG02451,ACB,HPRC,63.50,47.40,58.50,UW_HPRC_HiFi_Y3,18051.10,48.80,37.64,15407782.00,49.93,19.23,0.00,19.23,R941,81005.93,58.50
HG02486,ACB,HPRC,64.04,47.34,16.70,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19172.77,44.85,49.91,17166088.00,59.08,23.34,0.00,23.34,R941,83450.61,58.10
HG02514,KHV,HPRC,57.77,32.97,54.60,RU_Y3,19170.61,118.32,39.46,16405113.00,64.07,30.30,0.00,30.30,R941,94828.17,54.60
HG02523,KHV,HPRC,65.77,34.77,62.60,WUSTL_HPRC_HiFi_Year2_TopUp,22354.33,101.26,36.25,15111145.00,77.62,26.71,0.00,26.71,R941,74657.04,62.60
HG02559,ACB,HPRC,67.30,51.80,15.50,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20276.31,56.21,33.80,16941262.00,58.74,24.63,0.00,24.63,R941,85925.20,59.10
HG02572,GWD,HPRC,59.44,36.84,22.60,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18745.95,133.30,36.60,17471848.00,63.92,22.24,0.00,22.24,R941,75804.46,62.00
HG02583,GWD,HPRC,64.90,0.00,64.90,RU_Y4,23106.47,60.94,46.15,13872453.00,79.44,30.19,30.19,0.00,R1041,77792.17,64.90
HG02602,PJL,HPRC,65.07,37.77,59.90,WUSTL_HPRC_HiFi_Year2_TopUp,20956.77,170.05,38.55,19086197.00,83.09,20.10,0.00,20.10,R941,64397.27,59.90
HG02615,GWD,HPRC,71.11,34.81,68.30,WUSTL_HPRC_HiFi_Year2_TopUp,18397.30,93.06,39.15,17003779.00,68.79,20.92,0.00,20.92,R941,70177.70,68.30
HG02622,GWD,HPRC,57.05,57.05,0.00,WUSTL_HPRC_HiFi_Year1,22881.07,61.02,39.24,20284460.00,61.60,23.48,0.00,23.48,R941,81376.31,48.70
HG02630,GWD,HPRC,58.00,58.00,0.00,WUSTL_HPRC_HiFi_Year1,19199.80,64.50,39.80,16899780.00,76.13,30.45,0.00,30.45,R941,82786.69,50.60
HG02647,GWD,HPRC,60.10,45.20,54.70,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18117.45,114.93,40.30,17358721.00,51.00,16.99,0.00,16.99,R941,74140.20,54.70
HG02668,GWD,HPRC,65.00,0.00,65.00,RU_Y2_HIFI,17896.66,155.86,34.38,18826244.00,54.02,14.80,0.00,14.80,R941,68165.79,65.00
HG02698,PJL,HPRC,71.45,34.15,68.80,WUSTL_HPRC_HiFi_Year2_TopUp,19528.88,41.05,35.75,16574574.00,82.66,22.73,0.00,22.73,R941,68497.36,68.80
HG02717,GWD,HPRC,81.55,81.55,0.00,WUSTL_HPRC_HiFi_Year1,16752.13,85.42,38.68,16805501.00,107.60,48.03,0.00,48.03,R941,94453.86,47.30
HG02723,GWD,HPRC_PLUS,89.07,52.77,36.30,HPRC_REVIO_EA_2023,18910.01,24.96,36.42,,175.24,51.87,0.00,51.87,R941,67560.36,36.30
HG02735,PJL,HPRC,64.60,41.60,59.40,UW_HPRC_HiFi_Y3,19724.24,28.28,39.12,16281883.00,54.62,19.99,0.00,19.99,R941,79786.14,59.40
HG02738,PJL,HPRC,66.58,38.88,58.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18876.08,99.52,44.89,15035241.00,56.66,23.08,0.00,23.08,R941,84375.44,58.20
HG02809,GWD,HPRC,74.49,43.59,67.60,WUSTL_HPRC_HiFi_Year2_TopUp,22792.51,218.04,37.42,20993500.00,62.86,28.34,0.00,28.34,R941,91896.06,67.60
HG02818,GWD,HPRC_PLUS,44.11,44.11,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,16571.54,,35.39,,65.75,31.42,31.42,0.00,R1041,95389.47,38.60
HG02841,GWD,HPRC,66.35,37.45,62.40,RU_Y3,16339.37,47.56,37.58,17812671.00,59.53,22.00,0.00,22.00,R941,80001.79,62.40
HG02886,GWD,HPRC,54.51,54.51,0.00,WUSTL_HPRC_HiFi_Year1,17631.06,67.19,40.81,17675682.00,64.07,20.51,0.00,20.51,R941,75419.30,46.30
HG02922,ESN,HPRC,64.09,57.29,56.70,UW_HPRC_HiFi_Y3,21986.67,231.06,34.90,22850916.00,87.37,35.21,0.00,35.21,R941,82005.78,56.70
HG02965,ESN,HPRC,64.68,42.88,59.70,WUSTL_HPRC_HiFi_Year3,19783.39,53.29,37.22,11431438.00,65.59,33.69,0.00,33.69,R941,103053.07,59.70
HG02976,ESN,HPRC,67.73,45.63,58.50,WUSTL_HPRC_HiFi_Year3,18597.63,132.28,36.84,8244984.00,63.86,27.48,0.00,27.48,R941,86535.66,58.50
HG02984,GWD,HPRC,62.17,32.57,58.70,RU_Y3,18719.72,41.10,39.41,17069247.00,71.35,24.90,0.00,24.90,R941,75913.31,58.70
HG03017,PJL,HPRC,70.34,53.34,54.90,UW_HPRC_HiFi_Y3,20691.65,111.96,38.00,19481891.00,77.73,34.14,0.00,34.14,R941,88145.79,54.90
HG03041,GWD,HPRC,59.33,42.63,52.90,UW_HPRC_HiFi_Y3,19400.87,34.10,36.22,16189013.00,59.41,27.28,0.00,27.28,R941,92316.10,52.90
HG03050,GWD,HPRC,49.41,23.81,47.20,RU_Y3,19009.62,144.74,35.54,24120418.00,60.55,27.88,0.00,27.88,R941,92843.33,47.20
HG03098,MSL,HPRC_PLUS,42.06,42.06,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,19537.27,25.50,34.03,,157.57,51.70,0.00,51.70,R941,86181.84,36.40
HG03130,ESN,HPRC,64.07,44.97,57.00,UW_HPRC_HiFi_Y3,19733.28,64.46,48.01,10294458.00,58.86,21.29,0.00,21.29,R941,77872.85,57.00
HG03139,ESN,HPRC,61.57,48.97,53.90,UW_HPRC_HiFi_Y3,21757.50,63.76,38.95,13390182.00,57.65,24.80,0.00,24.80,R941,87804.53,53.90
HG03195,ESN,HPRC,66.55,39.75,62.00,WUSTL_HPRC_HiFi_Year3,20396.26,165.92,36.28,11766121.00,47.55,18.08,0.00,18.08,R941,79500.88,62.00
HG03209,MSL,HPRC,63.07,45.37,55.20,UW_HPRC_HiFi_Y3,18663.16,70.16,35.79,10077421.00,70.94,29.79,0.00,29.79,R941,86541.59,55.20
HG03225,MSL,HPRC,67.27,39.57,54.70,WUSTL_HPRC_HiFi_Year3,20677.24,69.68,36.02,15688985.00,65.05,35.51,0.00,35.51,R941,110962.01,54.70
HG03239,PJL,HPRC,60.70,42.60,52.90,UW_HPRC_HiFi_Y3,20857.67,54.72,34.35,14289676.00,64.02,25.48,0.00,25.48,R941,82268.10,52.90
HG03270,ESN,HPRC,64.60,0.00,64.60,RU_Y4,19750.44,69.96,61.15,16007083.00,73.81,17.28,17.28,0.00,R1041,56137.56,64.60
